id,name,slug,types,sprite,is_legendary,is_mythical,habitat,generation,color,document
1,Bulbasaur,bulbasaur,"['grass', 'poison']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,False,False,grassland,1,green,"Bulbasaur is the Seed Pokémon. Bulbasaur é Pokémon Graine. A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON. It can go for days without eating a single morsel. In the bulb on its back, it stores energy. The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows. It carries a seed on its back right from birth. As it grows older, the seed also grows larger. While it is young, it uses the nutrients that are stored in the seeds on its back in order to grow. BULBASAUR can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger. Una rara semilla le fue plantada en el lomo al nacer. La planta brota y crece con este Pokémon. Después de nacer, crece alimentándose de las semillas de su lomo. A Bulbasaur es fácil verle echándose una siesta al sol. La semilla que tiene en el lomo va creciendo cada vez más a medida que absorbe los rayos del sol. Puede sobrevivir largo tiempo sin probar bocado gracias a los nutrientes que guarda en el bulbo del lomo. Este Pokémon nace con una semilla en el lomo, que brota con el paso del tiempo. Desde que nace, crece alimentándose de los nutrientes que contiene la semilla de su lomo. Alla nascita gli è stato piantato sulla schiena un seme raro. La pianta sboccia e cresce con lui. Dopo la nascita, cresce traendo nutrimento dal seme piantato sul suo dorso. È possibile vedere Bulbasaur mentre schiaccia un pisolino sotto il sole. Ha un seme piantato sulla schiena. Grazie ai raggi solari il seme cresce ingrandendosi progressivamente. Questo Pokémon può stare a lungo senza mangiare. Accumula energia nel bulbo che ha sulla schiena. Fin dalla nascita questo Pokémon ha sulla schiena un seme che cresce lentamente. Appena nato, trae nutrimento dalle sostanze contenute nel seme sul dorso. Como Pokémon do tipo planta, possui afinidade com florestas, folhagens e natureza viva. Como Pokémon do tipo veneno, exala toxinas perigosas e ataques venenosos. Vive em campos abertos, planícies e pradarias. Pertence ao grupo de monstros reptilianos pré-históricos. Its ability Overgrow: When this Pokémon has 1/3 or less of its HP remaining, its Grass-type moves inflict 1.5× as much regular damage. Its ability Chlorophyll: This Pokémon's Speed is doubled during strong sunlight. This bonus does not count as a stat modifier. Possui coloração verde, evocando plantas e natureza. Anda em quatro patas, com corpo de quadrúpede como cães, gatos ou cavalos. Bulbasaur é originário da região de Kanto."
2,Ivysaur,ivysaur,"['grass', 'poison']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,False,False,grassland,1,green,"Ivysaur is the Seed Pokémon. Ivysaur é Pokémon Graine. When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs. The bulb on its back grows by drawing energy. It gives off an aroma when it is ready to bloom. Exposure to sun­ light adds to its strength. Sunlight also makes the bud on its back grow larger. If the bud on its back starts to smell sweet, it is evidence that the large flower will soon bloom. The bulb on its back grows as it absorbs nutrients. The bulb gives off a pleasant aroma when it blooms. There is a bud on this POKéMON’s back. To support its weight, IVYSAUR’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon. Este Pokémon tiene un bulbo en el lomo. Dicen que, al absorber nutrientes, el bulbo se transforma en una flor grande. Cuando el bulbo de su lomo se hincha, desprende un dulce aroma para indicar el florecimiento. Este Pokémon lleva un bulbo en el lomo y, para poder con su peso, tiene unas patas y un tronco gruesos y fuertes. Si empieza a pasar más tiempo al sol, será porque el bulbo está a punto de hacerse una flor grande. Su bulbo crece a medida que absorbe nutrientes. Desprende un cierto aroma cuando está a punto de florecer. Cuando le crece bastante el bulbo del lomo, pierde la capacidad de erguirse sobre las patas traseras. La luz del sol lo fortalece y hace que le crezca el capullo que tiene en el lomo. Dopo aver assorbito sufficienti sostanze nutrienti, il bulbo sulla schiena sboccia in un magnifico fiore. Quando il bocciolo che ha sul dorso si gonfia, emana un dolce profumo. È indice dell’imminente fioritura. C’è un germoglio piantato nella schiena di Ivysaur. Per sopportarne il peso, le zampe e il corpo crescono robusti. Quando inizia a passare più tempo esposto al sole, significa che il germoglio sboccerà presto in un grande fiore. Il suo bocciolo cresce assorbendo nutrimento e, quando è prossimo alla fioritura, emana un forte profumo. Il bulbo sulla schiena è cresciuto così tanto da impedirgli di alzarsi in piedi sulle zampe posteriori. L’esposizione alla luce solare lo rafforza e fa crescere il bocciolo che ha sul dorso. Como Pokémon do tipo planta, possui afinidade com florestas, folhagens e natureza viva. Como Pokémon do tipo veneno, exala toxinas perigosas e ataques venenosos. Vive em campos abertos, planícies e pradarias. Pertence ao grupo de monstros reptilianos pré-históricos. Its ability Overgrow: When this Pokémon has 1/3 or less of its HP remaining, its Grass-type moves inflict 1.5× as much regular damage. Its ability Chlorophyll: This Pokémon's Speed is doubled during strong sunlight. This bonus does not count as a stat modifier. Possui coloração verde, evocando plantas e natureza. Anda em quatro patas, com corpo de quadrúpede como cães, gatos ou cavalos. Ivysaur é originário da região de Kanto."
3,Venusaur,venusaur,"['grass', 'poison']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,False,False,grassland,1,green,"Venusaur is the Seed Pokémon. Venusaur é Pokémon Graine. The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight. The flower on its back catches the sun's rays. The sunlight is then absorbed and used for energy. By spreading the broad petals of its flower and catching the sun's rays, it fills its body with power. It is able to con­ vert sunlight into energy. As a result, it is more powerful in the summertime. As it warms it­ self and absorbs the sunlight, its flower petals release a pleasant fragrance. There is a large flower on VENUSAUR’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people. Llena su cuerpo de energía con los rayos solares que captan los anchos pétalos de su flor. Después de un día de lluvia, la flor de su lomo tiene un aroma más potente y atrae a otros Pokémon. Venusaur tiene una flor enorme en el lomo que, según parece, adquiere unos colores muy vivos si está bien nutrido y le da mucho el sol. El aroma delicado de la flor tiene un efecto relajante en el ánimo de las personas. La flor que tiene en el lomo puede recoger los rayos solares para transformarlos en energía. La planta florece cuando absorbe energía solar, lo cual le obliga a buscar siempre la luz del sol. La flor que tiene en el lomo libera un delicado aroma, que tiene un efecto relajante en combate. Si riempie di energia grazie ai grandi petali del fiore, che spalanca catturando i raggi solari. Dopo la pioggia, il fiore sul suo dorso emana un profumo più intenso e attira gli altri Pokémon. C’è un grande fiore sulla schiena di Venusaur. Si dice che i colori diventino più vividi con il giusto nutrimento e i raggi solari. Il suo profumo calma le reazioni emotive delle persone. Il grande fiore che ha sulla schiena può assorbire i raggi solari e trasformarli in energia. Il fiore sboccia assorbendo energia solare. Si muove continuamente in cerca di luce. Il suo fiore emana una fragranza inebriante capace di placare l’animo di chi è impegnato nella lotta. Como Pokémon do tipo planta, possui afinidade com florestas, folhagens e natureza viva. Como Pokémon do tipo veneno, exala toxinas perigosas e ataques venenosos. Vive em campos abertos, planícies e pradarias. Pertence ao grupo de monstros reptilianos pré-históricos. Its ability Overgrow: When this Pokémon has 1/3 or less of its HP remaining, its Grass-type moves inflict 1.5× as much regular damage. Its ability Chlorophyll: This Pokémon's Speed is doubled during strong sunlight. This bonus does not count as a stat modifier. Venusaur é um atacante forte e agressivo em batalha. Possui coloração verde, evocando plantas e natureza. Anda em quatro patas, com corpo de quadrúpede como cães, gatos ou cavalos. Venusaur é originário da região de Kanto."
4,Charmander,charmander,['fire'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,False,False,mountain,1,red,"Charmander is the Lizard Pokémon. Charmander é Pokémon Lézard. Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail. The flame at the tip of its tail makes a sound as it burns. You can only hear it in quiet places. The flame on its tail shows the strength of its life force. If it is weak, the flame also burns weakly. The flame on its tail indicates CHARMANDER's life force. If it is healthy, the flame burns brightly. If it's healthy, the flame on the tip of its tail will burn vigor­ ously, even if it gets a bit wet. The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when CHARMANDER is enjoying itself. If the POKéMON becomes enraged, the flame burns fiercely. La llama de su cola indica la fuerza vital de Charmander. Será brillante si está sano. Este Pokémon nace con una llama en la punta de la cola. Si la llama se apagara, el Pokémon se debilitaría. La llama que tiene en la punta de la cola arde según sus sentimientos. Llamea levemente cuando está alegre y arde vigorosamente cuando está enfadado. En lugares silenciosos se puede oír el débil chisporroteo de la llama que le arde en la punta de la cola. Prefiere las cosas calientes. Dicen que cuando llueve le sale vapor de la punta de la cola. Este Pokémon nace con una llama en la punta de la cola. Si se le apagara, fallecería. La fiamma che Charmander ha sulla coda indica la sua forza vitale. Se è in forma, la fiamma è vivace. Dalla nascita una fiamma gli arde sulla punta della coda. Se si spegnesse, per lui sarebbe la fine. La fiamma sulla punta della coda indica il suo stato emotivo. Se la fiamma ondeggia significa che Charmander si sta divertendo. Quando il Pokémon si infuria, la fiamma arde violentemente. Nel silenzio più assoluto si può udire la fiamma in cima alla sua coda scoppiettare bruciando. Ama le cose calde. Si dice che quando piove gli esca vapore dalla punta della coda. Una fiamma gli arde sulla punta della coda fin dalla nascita. Se si spegnesse, per lui sarebbe la fine. Como Pokémon do tipo fogo, domina chamas, calor intenso e brasas ardentes. Habita montanhas escarpadas e picos rochosos. Pertence ao grupo de monstros reptilianos pré-históricos. Pertence à linhagem dos dragões antigos. Its ability Blaze: When this Pokémon has 1/3 or less of its HP remaining, its Fire-type moves inflict 1.5× as much regular damage. Its ability Solar Power: During strong sunlight, this Pokémon has 1.5× its Special Attack but takes 1/8 of its maximum HP in damage after each turn. É vermelho, cor de fogo, sangue ou paixão. Anda ereto sobre duas pernas, com postura bípede semelhante a humanos. Charmander é originário da região de Kanto."
5,Charmeleon,charmeleon,['fire'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,False,False,mountain,1,red,"Charmeleon is the Flame Pokémon. Charmeleon é Pokémon Flamme. When it swings its burning tail, it elevates the temperature to unbearably high levels. Tough fights could excite this POKéMON. When excited, it may blow out bluish- white flames. It is very hot­ headed by nature, so it constantly seeks opponents. It calms down only when it wins. It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws. If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings. CHARMELEON mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color. Suele usar la cola para derribar a su rival. Cuando lo tira, se vale de sus afiladas garras para acabar con él. Cuando balancea la ardiente cola, eleva la temperatura a niveles muy altos. Charmeleon no tiene reparo en acabar con su rival usando las afiladas garras que tiene. Si su enemigo es fuerte, se vuelve agresivo, y la llama que tiene en el extremo de la cola empieza a arder con mayor intensidad tornándose azulada. Librar combates intensos lo entusiasma tanto que en ocasiones lanza llamas de tono blanco azulado. Este Pokémon de naturaleza agresiva ataca en combate con su cola llameante y hace trizas al rival con sus afiladas garras. Si se exalta en combate, expulsa intensas llamaradas que incineran todo a su alrededor. Fa cadere a terra il nemico colpendolo con la coda, per poi finirlo con gli artigli affilati. Quando agita la sua coda infuocata porta la temperatura a livelli insostenibili. Charmeleon distrugge il nemico senza pietà con i suoi artigli affilati. Quando incontra un avversario molto forte diventa aggressivo. In questo stato di grande agitazione la fiamma della coda diventa di colore bianco bluastro. Si infervora durante le lotte più dure e talvolta sputa fiamme bluastre. Ha un’indole feroce. Usa la coda fiammeggiante come una frusta e lacera l’avversario con gli artigli affilati. Se s’infervora nella lotta, sputa potenti fiamme che inceneriscono l’area circostante. Como Pokémon do tipo fogo, domina chamas, calor intenso e brasas ardentes. Habita montanhas escarpadas e picos rochosos. Pertence ao grupo de monstros reptilianos pré-históricos. Pertence à linhagem dos dragões antigos. Its ability Blaze: When this Pokémon has 1/3 or less of its HP remaining, its Fire-type moves inflict 1.5× as much regular damage. Its ability Solar Power: During strong sunlight, this Pokémon has 1.5× its Special Attack but takes 1/8 of its maximum HP in damage after each turn. É vermelho, cor de fogo, sangue ou paixão. Anda ereto sobre duas pernas, com postura bípede semelhante a humanos. Charmeleon é originário da região de Kanto."
6,Charizard,charizard,"['fire', 'flying']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,False,False,mountain,1,red,"Charizard is the Flame Pokémon. Charizard é Pokémon Flamme. Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally. When expelling a blast of super hot fire, the red flame at the tip of its tail burns more intensely. If CHARIZARD be­ comes furious, the flame at the tip of its tail flares up in a whitish- blue color. Breathing intense, hot flames, it can melt almost any­ thing. Its breath inflicts terrible pain on enemies. It uses its wings to fly high. The temperature of its fire increases as it gains exper­ ience in battle. CHARIZARD flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself. Cuando lanza una descarga de fuego supercaliente, la roja llama de su cola brilla más intensamente. Con las alas que tiene puede alcanzar una altura de casi 1400 m. Suele escupir fuego por la boca. Charizard se dedica a volar por los cielos en busca de oponentes fuertes. Echa fuego por la boca y es capaz de derretir cualquier cosa. No obstante, si su rival es más débil que él, no usará este ataque. Cuando exhala fuego abrasador, la llama de la punta de la cola se aviva y adquiere un intenso color rojo. Escupe un fuego tan caliente que funde las rocas. Causa incendios forestales sin querer. Sus potentes alas le permiten volar a una altura de 1400 m. Escupe llamaradas que llegan a alcanzar temperaturas elevadísimas. Quando emette le sue lingue di fuoco, la fiamma rossa sulla punta della coda brucia più intensamente. Grazie alle possenti ali può volare fino a 1400 m d’altezza. Sputa fuoco a una temperatura impressionante. Charizard solca i cieli in cerca di nemici molto forti. Riesce a emettere fiammate di un calore tale da fondere ogni cosa. Tuttavia, non rivolge mai le sue micidiali lingue di fuoco contro avversari più deboli di lui. Quando emette lingue di fuoco roventi dalla bocca, la fiamma rossa sulla punta della coda brucia più intensamente. Sputa fiamme incandescenti in grado di fondere le rocce. A volte causa incendi boschivi. Grazie alle possenti ali può volare fino a 1.400 m d’altezza. Le fiamme che sputa possono raggiungere temperature altissime. Como Pokémon do tipo fogo, domina chamas, calor intenso e brasas ardentes. Como Pokémon do tipo voador, plana pelos céus com asas, dominando o ar e as alturas. Voa pelos céus cuspindo fogo e chamas, lembrando dragões alados clássicos da mitologia. Habita montanhas escarpadas e picos rochosos. Pertence ao grupo de monstros reptilianos pré-históricos. Pertence à linhagem dos dragões antigos. Its ability Blaze: When this Pokémon has 1/3 or less of its HP remaining, its Fire-type moves inflict 1.5× as much regular damage. Its ability Solar Power: During strong sunlight, this Pokémon has 1.5× its Special Attack but takes 1/8 of its maximum HP in damage after each turn. Charizard é um atacante forte e agressivo em batalha. É vermelho, cor de fogo, sangue ou paixão. Anda ereto sobre duas pernas, com postura bípede semelhante a humanos. Charizard é originário da região de Kanto."
7,Squirtle,squirtle,['water'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,False,False,waters-edge,1,blue,"Squirtle is the Tiny Turtle Pokémon. Squirtle é Pokémon Minitortue. After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth. Shoots water at prey while in the water. Withdraws into its shell when in danger. The shell is soft when it is born. It soon becomes so resilient, prod­ ding fingers will bounce off it. The shell, which hardens soon after it is born, is resilient. If you poke it, it will bounce back out. When it feels threatened, it draws its legs inside its shell and sprays water from its mouth. SQUIRTLE’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this POKéMON to swim at high speeds. Se protege con su caparazón y luego contraataca lanzando agua a presión cuando tiene oportunidad. Lanza agua a su presa desde el agua. Se esconde en su concha cuando se siente en peligro. El caparazón de Squirtle no le sirve de protección únicamente. Su forma redondeada y las hendiduras que tiene le ayudan a deslizarse en el agua y le permiten nadar a gran velocidad. Escupe chorros de agua mientras flota para capturar a sus presas. Se esconde en su caparazón cuando se siente en peligro. Cuando retrae su largo cuello en el caparazón, dispara agua a una presión increíble. Cuando se siente en peligro, se esconde en su caparazón y escupe chorros de agua por la boca. Si ritira nel suo guscio e, alla prima occasione, contrattacca colpendo il nemico con spruzzi d’acqua. Attacca i nemici con potenti getti d’acqua. Se si sente in pericolo si ritira dentro la sua corazza. La corazza di Squirtle non serve soltanto da protezione. La particolare forma arrotondata e le scanalature superficiali lo aiutano a minimizzare l’attrito dell’acqua per nuotare ad alta velocità. Se ne sta tra i flutti e attacca le prede con potenti getti d’acqua. Se si sente in pericolo si ritira dentro la corazza. Quando ritrae il lungo collo dentro la corazza sputa un vigoroso getto d’acqua. Se si sente minacciato, ritira le zampe nel guscio e inizia a spruzzare acqua dalla bocca. Como Pokémon do tipo água, vive em ambientes aquáticos como oceanos, rios e mares, controlando correntes e chuva. Vive próximo a rios, lagos e linhas costeiras. Pertence ao grupo de monstros reptilianos pré-históricos. É uma criatura aquática, nadadora. Its ability Torrent: When this Pokémon has 1/3 or less of its HP remaining, its Water-type moves inflict 1.5× as much regular damage. Its ability Rain Dish: This Pokémon heals for 1/16 of its maximum HP after each turn during rain. Possui coloração azul, lembrando o céu, água ou gelo. Anda ereto sobre duas pernas, com postura bípede semelhante a humanos. Squirtle é originário da região de Kanto."
8,Wartortle,wartortle,['water'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,False,False,waters-edge,1,blue,"Wartortle is the Turtle Pokémon. Wartortle é Pokémon Tortue. Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance. When tapped, this POKéMON will pull in its head, but its tail will still stick out a little bit. It is recognized as a symbol of longevity. If its shell has algae on it, that WARTORTLE is very old. It cleverly con­ trols its furry ears and tail to maintain its balance while swimming. Its long, furry tail is a symbol of longevity, making it quite popular among older people. Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as WARTORTLE ages. The scratches on its shell are evidence of this POKéMON’s toughness as a battler. Si es golpeado, esconderá su cabeza. Aun así, su cola puede seguir golpeando. Se dice que vive 10 000 años. Su peluda cola es un símbolo de longevidad. Tiene una cola larga y cubierta de un pelo abundante y grueso que se torna más oscuro a medida que crece. Los arañazos que tiene en el caparazón dan fe de lo buen guerrero que es. Si alguien le golpea la cabeza, se protege escondiéndose en su caparazón, aunque parte de la cola queda al descubierto. Se lo considera un símbolo de longevidad. Los ejemplares más ancianos tienen musgo sobre el caparazón. Utiliza hábilmente sus peludas orejas y la cola para mantener el equilibrio al nadar. Quando si sente minacciato ritira la testa nella corazza, mentre la coda sporge sempre un po’. Pare che viva 10.000 anni. Ha la coda ricoperta da una folta pelliccia, indice di longevità. La grande coda di Wartortle è coperta da una folta pelliccia, che diventa sempre più scura con l’avanzare dell’età. I graffi sulla corazza indicano la potenza di questo Pokémon come lottatore. Quando viene colpito sulla testa si ritira nella corazza. La coda, però, sporge sempre un po’. È considerato un simbolo di longevità. Se c’è del muschio sul suo guscio, significa che è molto anziano. Controlla abilmente le orecchie e la coda coperte di pelo, mantenendo l’assetto mentre nuota. Como Pokémon do tipo água, vive em ambientes aquáticos como oceanos, rios e mares, controlando correntes e chuva. Vive próximo a rios, lagos e linhas costeiras. Pertence ao grupo de monstros reptilianos pré-históricos. É uma criatura aquática, nadadora. Its ability Torrent: When this Pokémon has 1/3 or less of its HP remaining, its Water-type moves inflict 1.5× as much regular damage. Its ability Rain Dish: This Pokémon heals for 1/16 of its maximum HP after each turn during rain. Possui coloração azul, lembrando o céu, água ou gelo. Anda ereto sobre duas pernas, com postura bípede semelhante a humanos. Wartortle é originário da região de Kanto."
9,Blastoise,blastoise,['water'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,False,False,waters-edge,1,blue,"Blastoise is the Shellfish Pokémon. Blastoise é Pokémon Carapace. A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles. Once it takes aim at its enemy, it blasts out water with even more force than a fire hose. It deliberately makes itself heavy so it can with­ stand the recoil of the water jets it fires. The rocket cannons on its shell fire jets of water capable of punch­ ing holes through thick steel. It firmly plants its feet on the ground before shooting water from the jets on its back. BLASTOISE has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet. Para acabar con su enemigo, lo aplasta con el peso de su cuerpo. En momentos de apuro, se esconde en el caparazón. Es un Pokémon imponente. Tiene reactores de agua en el caparazón, que le sirven para atacar con fuerza. Blastoise lanza chorros de agua con gran precisión por los tubos que le salen del caparazón que tiene en la espalda. Puede disparar chorros de agua con tanta puntería que no fallaría al tirar contra una lata pequeña a 50 m. Tras fijar el blanco, ataca disparando un chorro de agua a una presión mayor que la manguera de un bombero. Dispara chorros de agua a través de los cañones de su caparazón, capaces de agujerear incluso el acero. Mette KO gli avversari schiacciandoli sotto il corpo possente. Se è in difficoltà, può ritrarsi nella corazza. Pokémon brutale che lancia getti d’acqua ad alta pressione dalla corazza, usati per attacchi rapidi. Blastoise è dotato di cannoni ad acqua che fuoriescono dalla corazza. I getti emessi sono così precisi da riuscire a colpire un bersaglio a una distanza di 50 m. Dopo aver preso la mira colpisce il nemico con getti d’acqua più potenti di quelli di un idrante. I cannoni sul suo guscio sparano getti d’acqua capaci di bucare l’acciaio. Como Pokémon do tipo água, vive em ambientes aquáticos como oceanos, rios e mares, controlando correntes e chuva. Vive próximo a rios, lagos e linhas costeiras. Pertence ao grupo de monstros reptilianos pré-históricos. É uma criatura aquática, nadadora. Its ability Torrent: When this Pokémon has 1/3 or less of its HP remaining, its Water-type moves inflict 1.5× as much regular damage. Its ability Rain Dish: This Pokémon heals for 1/16 of its maximum HP after each turn during rain. Possui coloração azul, lembrando o céu, água ou gelo. Anda ereto sobre duas pernas, com postura bípede semelhante a humanos. Blastoise é originário da região de Kanto."
10,Caterpie,caterpie,['bug'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,False,False,forest,1,green,"Caterpie is the Worm Pokémon. Caterpie é Pokémon Ver. Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls. If you touch the feeler on top of its head, it will release a horrible stink to protect itself. For protection, it releases a horri­ ble stench from the antenna on its head to drive away enemies. Its feet have suction cups designed to stick to any surface. It tenaciously climbs trees to forage. It crawls into foliage where it camouflages itself among leaves that are the same color as its body. CATERPIE has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this POKéMON releases a terrifically strong odor. Para protegerse despide un hedor horrible de sus antenas, con el que repele a sus enemigos. Sus patas tienen ventosas con las que se adhiere a cualquier sitio. Escala árboles buscando forraje. Caterpie tiene un apetito voraz. Es capaz de devorar hojas que superen su tamaño en un abrir y cerrar de ojos. Atención a la antena que tiene: libera un hedor realmente fuerte. A menudo resulta presa de Pokémon pájaro, frente a los que su única defensa es el hedor repulsivo que libera por su antena. Se desarrolla rápidamente y es fácil de atrapar. Es el compañero ideal para Entrenadores menos experimentados. Muestra un apetito voraz, debido quizás a sus ganas de acelerar su desarrollo. Puede llegar a devorar un centenar de hojas al día. Per proteggersi emette un puzzo terribile dall’antenna sul capo, tenendo lontani i nemici. Le sue zampe hanno ventose che possono aderire a ogni superficie. Sale sugli alberi cercando cibo. Caterpie mangia voracemente. È in grado di divorare foglie più grandi del suo stesso corpo in pochi istanti. Questo Pokémon emette un odore terrificante dalle antenne. Tenta di difendersi dai Pokémon alati emettendo un forte fetore dalle antenne, ma cade spesso vittima dei loro attacchi. È facile da catturare e cresce in fretta. È uno dei Pokémon più indicati per gli Allenatori in erba. Mangia 100 foglie al giorno. La sua voracità potrebbe essere dovuta al desiderio di crescere in fretta. Como Pokémon do tipo inseto, lembra besouros, borboletas, aranhas ou outros artrópodes. Habita densas florestas e bosques cobertos de árvores. É um inseto ou artrópode. Its ability Shield Dust: This Pokémon is immune to the extra effects of moves used against it. An extra effect is a move's chance, listed as an ""effect chance"", to inflict a status ailment, cause a stat change, or make the target flinch in addition to the move's main effect. For example, Thunder Shock's paralysis is an extra effect, but Thunder Wave's is not, nor are Knock Off's item removal and Air Cutter's increased critical hit rate. Its ability Run Away: This Pokémon is always successful fleeing from wild battles, even if trapped by a move or ability. Possui coloração verde, evocando plantas e natureza. Tem corpo coberto por armadura ou couraça blindada, lembrando guerreiros ou cavaleiros. Caterpie é originário da região de Kanto."
