pokemon,usage
Koraidon,0.4840236
Landorus-Therian,0.4145608
Zacian-Crowned,0.3572974
Great Tusk,0.329175
Kyogre,0.2951325
Magearna,0.2663642
Ferrothorn,0.2632456
Greninja,0.2623155
Dragapult,0.261724
Kingambit,0.2247214
Gholdengo,0.21870259999999997
Heatran,0.2112939
Arceus,0.1862303
Garchomp,0.18256789999999998
Urshifu-Rapid-Strike,0.180188
Dragonite,0.17946549999999997
Tapu Koko,0.172637
Ho-Oh,0.1722635
Eternatus,0.1673442
Rillaboom,0.1665167
Kartana,0.16649619999999998
Clefable,0.16015440000000003
Necrozma-Dusk-Mane,0.1585624
Weavile,0.1579983
Corviknight,0.15700630000000002
Zapdos,0.1565599
Iron Valiant,0.152714
Raging Bolt,0.1526657
Zamazenta,0.1524913
Ogerpon-Wellspring,0.1513743
Tapu Lele,0.1431572
Flutter Mane,0.1378222
Lunala,0.1337905
Tornadus-Therian,0.1316638
Melmetal,0.13075989999999998
Hatterene,0.1294381
Excadrill,0.1282254
Tapu Fini,0.1271467
Slowking-Galar,0.12528740000000002
Toxapex,0.1212424
Serperior,0.1170595
Gliscor,0.1121054
Iron Treads,0.1097626
Kyurem,0.1055257
Samurott-Hisui,0.10271459999999999
Cinderace,0.1002838
Hawlucha,0.09813929999999998
Tyranitar,0.0979475
Ting-Lu,0.0960853
Rotom-Wash,0.0952745
Calyrex-Ice,0.0945223
Ceruledge,0.0921463
Pecharunt,0.0920167
Volcarona,0.0910623
Glimmora,0.09004799999999999
Iron Moth,0.08933970000000001
Blacephalon,0.08891339999999999
Slowbro,0.0888545
Alomomola,0.088849
Kyurem-Black,0.0846761
Arceus-Fairy,0.0829941
Swampert-Mega,0.0814145
Darkrai,0.08138920000000001
Pelipper,0.0813487
Ribombee,0.0812599
Victini,0.0808696
Blissey,0.08017540000000001
Groudon,0.0783439
Arceus-Ground,0.0775144
Medicham-Mega,0.07750309999999999
Alakazam-Mega,0.0758977
Walking Wake,0.0732598
Celesteela,0.0727566
Giratina-Origin,0.0725415
Mawile-Mega,0.0704848
Kommo-o,0.06988470000000001
Chansey,0.06880320000000001
Deoxys-Speed,0.0632003
Scizor-Mega,0.06305480000000001
Terapagos,0.0627938
Garganacl,0.0624465
Barraskewda,0.061919199999999994
Charizard-Mega-X,0.061603700000000004
Charizard-Mega-Y,0.0614619
Buzzwole,0.059176900000000004
Deoxys-Attack,0.059032400000000006
Regieleki,0.0582494
Lopunny-Mega,0.057873299999999996
Primarina,0.0563962
Tapu Bulu,0.0539295
Diancie-Mega,0.0535121
Tyranitar-Mega,0.0515606
Chien-Pao,0.049952300000000005
Skarmory,0.049934599999999996
Magnezone,0.049753
Rayquaza,0.0489587
Enamorus,0.04825599999999999
Annihilape,0.0481798
Zeraora,0.047554400000000004
Blaziken,0.0473382
Moltres,0.047280300000000004
Scizor,0.0451988
Bisharp,0.044710400000000004
Weezing-Galar,0.0444957
Dondozo,0.0440107
Arceus-Water,0.0427301
Ninetales-Alola,0.0427298
Cresselia,0.042012400000000005
Archaludon,0.0414499
